rank,finalWorth,personName,age,country,city,source,industries,selfMade,gender,birthYear,birthMonth,cpi_country,gdp_country,tertiary_education,primary_education,life_expectancy,total_tax_rate,population_country,latitude,longitude
1,211.0,Bernard Arnault & family,74.0,France,Paris,LVMH,Fashion & Retail,False,M,1949.0,3.0,110.05,"$2,715,518,274,227 ",65.6,102.5,82.5,60.7,67.059887,46.227638,2.213749
2,180.0,Elon Musk,51.0,United States,Austin,"Tesla, SpaceX",Automotive,False,M,1971.0,6.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
3,114.0,Jeff Bezos,59.0,United States,Medina,Amazon,Technology,False,M,1964.0,1.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
4,107.0,Larry Ellison,78.0,United States,Lanai,Oracle,Technology,True,M,1944.0,8.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
5,106.0,Warren Buffett,92.0,United States,Omaha,Berkshire Hathaway,Finance & Investments,False,M,1930.0,8.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
6,104.0,Bill Gates,67.0,United States,Medina,Microsoft,Technology,False,M,1955.0,10.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
7,94.5,Michael Bloomberg,81.0,United States,New York,Bloomberg LP,Media & Entertainment,True,M,1942.0,2.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
8,93.0,Carlos Slim Helu & family,83.0,Mexico,Mexico City,Telecom,Telecom,True,M,1940.0,1.0,141.54,"$1,258,286,717,125 ",40.2,105.8,75.0,55.1,126.014024,23.634501,-102.552784
9,83.4,Mukesh Ambani,65.0,India,Mumbai,Diversified,Diversified,False,M,1957.0,4.0,180.44,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,1366.417754,20.593684,78.96288
10,80.7,Steve Ballmer,67.0,United States,Hunts Point,Microsoft,Technology,True,M,1956.0,3.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
11,80.5,Francoise Bettencourt Meyers & family,69.0,France,Paris,L'Oréal,Fashion & Retail,False,F,1953.0,7.0,110.05,"$2,715,518,274,227 ",65.6,102.5,82.5,60.7,67.059887,46.227638,2.213749
12,79.2,Larry Page,50.0,United States,Palo Alto,Google,Technology,True,M,1973.0,3.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
13,77.3,Amancio Ortega,87.0,Spain,La Coruna,Zara,Fashion & Retail,True,M,1936.0,3.0,110.96,"$1,394,116,310,769 ",88.9,102.7,83.3,47.0,47.076781,40.463667,-3.74922
14,76.0,Sergey Brin,49.0,United States,Los Altos,Google,Technology,True,M,1973.0,8.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
15,68.0,Zhong Shanshan,68.0,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,True,M,1954.0,12.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
16,64.4,Mark Zuckerberg,38.0,United States,Palo Alto,Facebook,Technology,True,M,1984.0,5.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
17,59.0,Charles Koch & family,87.0,United States,Wichita,Koch Industries,Diversified,False,M,1935.0,11.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
17,59.0,Julia Koch & family,60.0,United States,New York,Koch Industries,Diversified,False,F,1962.0,4.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
19,58.8,Jim Walton,74.0,United States,Bentonville,Walmart,Fashion & Retail,False,M,1948.0,6.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
20,57.6,Rob Walton & family,78.0,United States,Bentonville,Walmart,Fashion & Retail,False,M,1944.0,10.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
21,56.7,Alice Walton,73.0,United States,Fort Worth,Walmart,Fashion & Retail,False,F,1949.0,10.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
22,54.4,David Thomson & family,65.0,Canada,Toronto,Media,Media & Entertainment,False,M,1957.0,6.0,116.76,"$1,736,425,629,520 ",68.9,100.9,81.9,24.5,36.991981,56.130366,-106.346771
23,50.1,Michael Dell,58.0,United States,Austin,Dell Technologies,Technology,True,M,1965.0,2.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
24,47.2,Gautam Adani,60.0,India,Ahmedabad,"Infrastructure, commodities",Diversified,True,M,1962.0,6.0,180.44,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,1366.417754,20.593684,78.96288
25,45.1,Phil Knight & family,85.0,United States,Hillsboro,Nike,Fashion & Retail,True,M,1938.0,2.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
26,45.0,Zhang Yiming,39.0,China,Beijing,TikTok,Technology,True,M,1984.0,1.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
27,42.9,Dieter Schwarz,83.0,Germany,Neckarsulm,Retail,Fashion & Retail,False,M,1939.0,9.0,112.85,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,83.132799,51.165691,10.451526
28,40.1,François Pinault & family,86.0,France,Paris,Luxury goods,Fashion & Retail,True,M,1936.0,8.0,110.05,"$2,715,518,274,227 ",65.6,102.5,82.5,60.7,67.059887,46.227638,2.213749
29,39.1,Klaus-Michael Kuehne,85.0,Switzerland,Schindellegi,Shipping,Logistics,False,M,1937.0,6.0,99.55,"$703,082,435,360 ",59.6,105.2,83.6,28.8,8.574832,46.818188,8.227512
30,38.9,Giovanni Ferrero,58.0,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,False,M,1964.0,9.0,117.11,"$529,606,710,418 ",79.7,103.9,81.6,55.4,11.484055,50.503887,4.469936
31,38.3,Jacqueline Mars,83.0,United States,The Plains,"Candy, pet food",Food & Beverage,False,F,1939.0,10.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
31,38.3,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,False,M,1935.0,10.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
33,38.0,Li Ka-shing,94.0,Hong Kong,Hong Kong,Diversified,Diversified,True,M,1928.0,6.0,125.08,"$19,910,000,000,000",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
34,35.3,Ma Huateng,51.0,China,Shenzhen,Internet media,Technology,True,M,1971.0,10.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
35,35.0,Miriam Adelson & family,77.0,United States,Las Vegas,Casinos,Gambling & Casinos,False,F,1945.0,10.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
35,35.0,Ken Griffin,54.0,United States,Miami,Hedge funds,Finance & Investments,True,M,1968.0,10.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
37,34.7,Mark Mateschitz,30.0,Austria,Salzburg,Red Bull,Food & Beverage,False,M,1992.0,5.0,118.06,"$446,314,739,528 ",85.1,103.1,81.6,51.4,8.877067,47.516231,14.550072
38,33.4,Robin Zeng,54.0,China,Ningde,Batteries,Automotive,True,M,1969.0,1.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
39,32.6,Tadashi Yanai & family,74.0,Japan,Tokyo,Fashion retail,Fashion & Retail,True,M,1949.0,2.0,105.48,"$5,081,769,542,380 ",63.2,98.8,84.2,46.7,126.226568,36.204824,138.252924
40,32.1,Len Blavatnik,65.0,United Kingdom,London,"Music, chemicals",Diversified,True,M,1957.0,6.0,119.62,"$2,827,113,184,696 ",60.0,101.2,81.3,30.6,66.834405,55.378051,-3.435973
41,31.6,Alain Wertheimer,74.0,United States,New York,Chanel,Fashion & Retail,False,M,1948.0,8.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
